Activity Calories
,Activity Type,Value
Mon,Walking,559
Mon,Fitness Equipment,435
Tue,Walking,511
Tue,Fitness Equipment,409
Wed,Walking,765
Thu,Walking,599
Thu,Fitness Equipment,423
Fri,Walking,460
Sat,Walking,587
Sat,Fitness Equipment,474
Sun,Swimming,78
Sun,Walking,919
