Average Heart Rate
,Value,Heart Rate
2023-11-16,107,107 bpm
2023-11-17,97,97 bpm
2023-11-18,123,123 bpm
2023-11-19,121,121 bpm
2023-11-20,105,105 bpm
2023-11-21,128,128 bpm
2023-11-22,100,100 bpm
