Activity Calories
,Activity Type,Value
Mon,Walking,171
Mon,Fitness Equipment,832
Tue,Walking,1090
Tue,Fitness Equipment,364
Wed,Walking,425
Wed,Fitness Equipment,247
Thu,Walking,433
Thu,Fitness Equipment,579
Fri,Walking,350
Sat,Walking,628
Sat,Fitness Equipment,743
Sun,Walking,2202
